ID,Name,Studio,Rotten,Genre,Domestic,Budget
258,High School Musical 3: Senior Year,Disney,65,Comedy,90.56,11
259,Hitman,Fox,15,Action,39.69,17.5
260,Homefront,Open Road Films,40,Action,20.158898,22
261,Hop,Relativity Media,26,Animation,108.09,63
262,Hope Springs,Sony,74,Comedy,63.536011,30
263,Horrible Bosses,Warner Bros,69,Comedy,117.54,35
264,Hostel: Part II,Lionsgate,44,Horror,17.61,110
265,Hot Tub Time Machine,MGM,64,Adventure,50.29,36
266,Hotel for Dogs ,Paramount,46,Comedy,73.00,35
267,Hotel Transylvania,Sony,45,Animation,148.313048,85
268,House at the End of The Street,Rela.,10,Horror,31.611916,10
269,How to Train Your Dragon,Paramount,98,Animation,217.58,165
270,Hugo,Paramount,93,Adventure,73.86,150
271,I Am Legend,Warner Bros.,69,Thriller,256.39,17
272,I Am Number Four,Paramount,32,Thriller,55.10,60
273,I Love You Beth Cooper ,Fox,14,Comedy,14.80,18
274,I Love You Phillip Morris,Independent,71,Comedy,2.04,15
275,"I Love You, Man ",Paramount,83,Comedy,71.40,40
276,I Now Pronounce You Chuck and Larry,Universal,13,Comedy,120.06,25
277,Ice Age: Continental Drift,Fox,37,Animation,161.321843,95
278,Ice Age: Dawn of the Dinosaurs ,Fox,45,Animation,196.57,90
279,Identity Thief,Universal,19,Comedy,134.50692,35
280,Igor,Independent,36,Animation,19.53,30
281,Imagine That ,Paramount,38,Comedy,16.12,55
282,Immortals,Relativity Media,36,Action,83.50,75
283,In a World,Roadside Attractions,92,Comedy,2.963902,1
284,In the Land of Women,Warner Bros.,43,Comedy,11.05,20
285,In Time,Regency Enterprises,38,Thriller,37.52,40
286,Inception,Warner Bros.,86,Action,292.58,160
287,Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,Action,317.10,185
288,Inglourious Basterds ,Universal,88,Adventure,120.50,70
289,Inkheart ,Warner Bros.,39,Adventure,17.30,60
290,Inside Llewyn Davis,CBS,94,Musical,11.99599,11
291,Insidious,Sony,67,Horror,54.01,1.5
292,Insidious Chapter 2,FilmDistrict,37,Horror,83.586447,5
293,Into the Wild,Paramount,82,Drama,18.35,10
294,Iron Man,Paramount,94,Action,318.76,186
295,Iron Man 2,Paramount,74,Action,312.43,200
296,Iron Man 3,Buena Vista,78,Action,409.013994,200
